SRA	sample_name
SRR13258547	DeepSeaHydrothermalVents_JL125L_water
SRR13258546	DeepSeaHydrothermalVents_JL125R_water
SRR13258543	DeepSeaHydrothermalVents_JL133L_water
SRR13258542	DeepSeaHydrothermalVents_JL133R_water
SRR13258545	DeepSeaHydrothermalVents_Muc02_water
ERR2021503	DeepSeaHydrothermalVents_FS917_Marker33_DNA_water
ERR2021505	DeepSeaHydrothermalVents_FS914_Anemone_DNA_water
ERR2021507	DeepSeaHydrothermalVents_FS915_Marker113_DNA_water
SRR3136142	DeepSeaHydrothermalVents_SWIR-S021-M_sediment
SRR3136143	DeepSeaHydrothermalVents_SWIR-S024-M_sediment
SRR3136141	DeepSeaHydrothermalVents_SWIR-S004-M_sediment
ERR1078300	DeepSeaHydrothermalVents_MG_WdCr-f2_water
ERR1078302	DeepSeaHydrothermalVents_MG_Wd-40UP_water
ERR1078301	DeepSeaHydrothermalVents_MG_Wd-10L_water
SRR1217367	DeepSeaHydrothermalVents_Kilo_Moana_Hydrothermal_plume_60m_water
SRR1217460	DeepSeaHydrothermalVents_Abe_hydrothermal_plume_200m_water
SRR1217452	DeepSeaHydrothermalVents_Mariner_hydrothermal_plume_25m_water
SRR1217459	DeepSeaHydrothermalVents_Kilo_Moana_hydrothermal_plume_200m_water
SRR1217461	DeepSeaHydrothermalVents_Tahi_Moana_Above_plume_background_water
SRR1217462	DeepSeaHydrothermalVents_Tui_Malila_hydrothermal_plume_10m_water
SRR1217463	DeepSeaHydrothermalVents_Abe_Near_Bottom_Background_water
SRR1217465	DeepSeaHydrothermalVents_Tahi_Moana_hydrothermal_plume_1m_water
SRR1217564	DeepSeaHydrothermalVents_Kilo_Moana_hydrothermal_plume_1m_water
SRR1217566	DeepSeaHydrothermalVents_Kilo_Moana_neutrally_buoyant_plume_water
SRR1217565	DeepSeaHydrothermalVents_Abe_hydrothermal_plume_1m_water
SRR1217567	DeepSeaHydrothermalVents_Mariner_below_plume_CTD_background_water
SRR3577362	DeepSeaHydrothermalVents_Guaymas_Basin_Hydrothermal_plume_metagenome_water
SRR2046222	DeepSeaHydrothermalVents_SUPR60_water
SRR2046236	DeepSeaHydrothermalVents_SUPR47_water
SRR2046238	DeepSeaHydrothermalVents_CTD08-04_water
DRR093002	DeepSeaHydrothermalVents_160705-skato-S08_S1_sediment
DRR093003	DeepSeaHydrothermalVents_160705-skato-S09_S2_sediment
DRR093004	DeepSeaHydrothermalVents_161219skato-S08_S1_sediment
DRR093005	DeepSeaHydrothermalVents_161222skato-S09_S1_sediment
